project,organization,location,recording_date,recording_time,status,latitude,longitude,buffer_radius_m,species_code,scientific_name,species_english_name,species_class,method,rain,wind,noise,industry_noise,audio_quality,species_individual_name,transcriber,abundance,confidence,Vocalization,Interval,daily_weather_station_nm,daily_weather_station_elevation,daily_weather_station_distance,daily_min_temp,daily_max_temp,daily_mean_temp,daily_total_rain_mm,daily_total_snow_cm,daily_precipitation_mm,daily_snow_on_ground_cm,hourly_weather_station_nm,hourly_weather_station_elevation,hourly_weather_station_distance,hourly_temp,hourly_dew_point,hourly_rel_humidity,hourly_precipitation_mm,hourly_wind_direction,hourly_wind_speed,hourly_visibility_km,hourly_station_pressure,hourly_humidex,hourly_wind_chill,hourly_weather_attributes,comment,species_comment,original_file_name
SK Pyrodiversity,ECCC,13-UEB53-KR,2019-06-15,5:14:00,Transcribed,55.39613,-104.08246,,SWTH,Catharus ustulatus,Swainson's Thrush,AVES,3m 1SPR,0,0,0,0,None,1,Stan Shadick,1,Confident,Song,0-1 min,LA RONGE A,379.20m,80km,8.3,13.4,10.9,7.9,0,7.9,,LA RONGE RCS,378.60m,80km,8.6,5.7,82,0,15,17,,96.73,,,NA,,,13-UEB53-KR_20190615_051400.wav
SK Pyrodiversity,ECCC,13-UEB53-KR,2019-06-15,5:14:00,Transcribed,55.39613,-104.08246,,SWTH,Catharus ustulatus,Swainson's Thrush,AVES,3m 1SPR,0,0,0,0,None,2,Stan Shadick,1,Confident,Song,0-1 min,LA RONGE A,379.20m,80km,8.3,13.4,10.9,7.9,0,7.9,,LA RONGE RCS,378.60m,80km,8.6,5.7,82,0,15,17,,96.73,,,NA,,,13-UEB53-KR_20190615_051400.wav
SK Pyrodiversity,ECCC,13-UEB53-KR,2019-06-15,5:14:00,Transcribed,55.39613,-104.08246,,UNKN, ,Unknown,UNKNOWN,3m 1SPR,0,0,0,0,None,1,Stan Shadick,1,Unknown far,Song,2-3 min,LA RONGE A,379.20m,80km,8.3,13.4,10.9,7.9,0,7.9,,LA RONGE RCS,378.60m,80km,8.6,5.7,82,0,15,17,,96.73,,,NA,,,13-UEB53-KR_20190615_051400.wav
SK Pyrodiversity,ECCC,13-UEB53-KR,2019-06-15,5:14:00,Transcribed,55.39613,-104.08246,,YRWA,Setophaga coronata,Yellow-rumped Warbler,AVES,3m 1SPR,0,0,0,0,None,1,Stan Shadick,1,Confident,Song,0-1 min,LA RONGE A,379.20m,80km,8.3,13.4,10.9,7.9,0,7.9,,LA RONGE RCS,378.60m,80km,8.6,5.7,82,0,15,17,,96.73,,,NA,,,13-UEB53-KR_20190615_051400.wav
SK Pyrodiversity,ECCC,13-UEB53-KR,2019-06-15,5:14:00,Transcribed,55.39613,-104.08246,,YRWA,Setophaga coronata,Yellow-rumped Warbler,AVES,3m 1SPR,0,0,0,0,None,2,Stan Shadick,1,Confident,Song,1-2 min,LA RONGE A,379.20m,80km,8.3,13.4,10.9,7.9,0,7.9,,LA RONGE RCS,378.60m,80km,8.6,5.7,82,0,15,17,,96.73,,,NA,,Fainter with different pattern than YRWA1.,13-UEB53-KR_20190615_051400.wav
SK Pyrodiversity,ECCC,13-UDB73-IL2,2019-06-15,8:20:00,Transcribed,55.35421,-105.42362,,AMCR,Corvus brachyrhynchos,American Crow,AVES,3m 1SPR,0,1,1,0,None,1,Stan Shadick,1,Confident,Call,1-2 min,LA RONGE A,379.20m,25km,8.3,13.4,10.9,7.9,0,7.9,,LA RONGE RCS,378.60m,25km,9.2,6.7,84,0.2,14,8,,96.83,,,NA,,,13-UDB73-IL2_20190615_082000.wav
SK Pyrodiversity,ECCC,13-UDB73-IL2,2019-06-15,8:20:00,Transcribed,55.35421,-105.42362,,LIAI, ,Light aircraft,ABIOTIC,3m 1SPR,0,1,1,0,None,1,Stan Shadick,1,Confident,Non-vocal,2-3 min,LA RONGE A,379.20m,25km,8.3,13.4,10.9,7.9,0,7.9,,LA RONGE RCS,378.60m,25km,9.2,6.7,84,0.2,14,8,,96.83,,,NA,,,13-UDB73-IL2_20190615_082000.wav
SK Pyrodiversity,ECCC,13-UDB73-IL2,2019-06-15,8:20:00,Transcribed,55.35421,-105.42362,,LIBA, ,Light Background Noise,ABIOTIC,3m 1SPR,0,1,1,0,None,1,Stan Shadick,1,Confident,Non-vocal,1-2 min,LA RONGE A,379.20m,25km,8.3,13.4,10.9,7.9,0,7.9,,LA RONGE RCS,378.60m,25km,9.2,6.7,84,0.2,14,8,,96.83,,,NA,,insect,13-UDB73-IL2_20190615_082000.wav
SK Pyrodiversity,ECCC,13-UDB73-IL2,2019-06-15,8:20:00,Transcribed,55.35421,-105.42362,,LIWI, ,Light wind,ABIOTIC,3m 1SPR,0,1,1,0,None,1,Stan Shadick,1,Confident,Non-vocal,0-1 min,LA RONGE A,379.20m,25km,8.3,13.4,10.9,7.9,0,7.9,,LA RONGE RCS,378.60m,25km,9.2,6.7,84,0.2,14,8,,96.83,,,NA,,,13-UDB73-IL2_20190615_082000.wav
SK Pyrodiversity,ECCC,13-UDB73-IL2,2019-06-15,8:20:00,Transcribed,55.35421,-105.42362,,LIWI, ,Light wind,ABIOTIC,3m 1SPR,0,1,1,0,None,2,Stan Shadick,1,Confident,Non-vocal,0-1 min,LA RONGE A,379.20m,25km,8.3,13.4,10.9,7.9,0,7.9,,LA RONGE RCS,378.60m,25km,9.2,6.7,84,0.2,14,8,,96.83,,,NA,,,13-UDB73-IL2_20190615_082000.wav
SK Pyrodiversity,ECCC,13-UDB73-IL2,2019-06-15,8:20:00,Transcribed,55.35421,-105.42362,,LIWI, ,Light wind,ABIOTIC,3m 1SPR,0,1,1,0,None,3,Stan Shadick,1,Confident,Non-vocal,1-2 min,LA RONGE A,379.20m,25km,8.3,13.4,10.9,7.9,0,7.9,,LA RONGE RCS,378.60m,25km,9.2,6.7,84,0.2,14,8,,96.83,,,NA,,,13-UDB73-IL2_20190615_082000.wav
